name,artist,uri,key,mode,acousticness,danceability,energy,liveness,loudness,tempo,valence,popularity
Bad Alive - English Version,WayV,spotify:track:333mEOj0mFwb6QAu1MmaqL,3,0,0.0017,0.667,0.84,0.332,-3.363,142.014,0.575,0
overdose,CIKI,spotify:track:3B4Rxj4UItYuHyppE8S0gU,6,1,0.832,0.737,0.492,0.301,-10.197,90.984,0.702,51
DESSERT,HYO,spotify:track:6u0pZe0Uv7GBR0iKptfWRf,2,1,0.0586,0.713,0.927,0.373,-3.28,115.072,0.618,65
Breath;(Blood Night) - Oriental Version,G-reyish,spotify:track:3xVYOr56PkUagFjKnT6IZp,6,0,0.156,0.603,0.874,0.172,-2.04,131.794,0.34,16
DUN DUN,EVERGLOW,spotify:track:3CyCjgTHFzqucmECajq8QA,11,0,0.0457,0.692,0.881,0.146,-2.563,103.055,0.433,69
Follow,Monsta X,spotify:track:7ri0aUbwDcItOnQbywEGU5,0,1,0.0305,0.638,0.93,0.228,-2.214,109.961,0.734,60
Telepathy,BTS,spotify:track:2FVpOsjT1iquZ3SpCjZ9Ne,5,0,0.00782,0.787,0.669,0.123,-4.333,104.994,0.57,80
RED-SUN (021),GWSN,spotify:track:5ty8BBWfmoOs0URGOgqgOk,4,0,0.0331,0.751,0.872,0.496,-3.92,128.062,0.696,0
In The Summer by SSAK3 (Feat. Kwang Hee Hwang),SSAK3,spotify:track:1MELIJNsr1KyHJOJufbheK,8,1,0.0227,0.723,0.914,0.287,-4.821,105.988,0.863,40
KARMA,DEMIAN,spotify:track:3Z5Dv9KZCyoRRfQ4ddA1y5,11,0,0.023,0.78,0.801,0.0685,-4.71,110.012,0.448,47
蓮,LAY,spotify:track:1tMnwLbnmfxIg117nh0vIV,4,0,0.118,0.561,0.898,0.0482,-4.669,110.057,0.269,55
Stay Gold,BTS,spotify:track:3Ys2PYl1wyPKQIwyqhP9cQ,1,1,0.0892,0.723,0.634,0.0787,-5.415,129.017,0.582,78
2U,KANG DANIEL,spotify:track:00S4PrcWUb3f3dQ9PuC0uy,2,1,0.0353,0.717,0.742,0.102,-3.359,96.069,0.564,54
Stand by you,A.C.E,spotify:track:1FXMaHibQ7Nz8JV4babzfF,1,1,0.055,0.469,0.636,0.0756,-4.927,169.9,0.315,46
When I smoke,BLOO,spotify:track:4j99KDGdPwCYjLeIyTmp6T,7,0,0.279,0.719,0.852,0.111,-5.157,139.998,0.432,46
